,id,(,),{,},;,[,],=,float,int,if,else,while,for,do,break,continue,num,||,&&,==,!=,<,<=,>=,>,+,-,*,/,!,real,true,false,undefined,$,program,block,decls,decl,init,array,basic,stmts,stmt,loc,f_decl,f_bool,f_expr,bool,join,equality,rel,sexpr,expr,term,unary,factor
68,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,,91,41,44
69,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,,,92,44
70,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,,,93,44
71,,,r50,,,r50,,,,,,,,,,,,,,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,r51,,,r51,,,,,,,,,,,,,,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,r23,,,r23,r23,,r23,,,,,,,,,,,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,s25,,,s9,,,,,,,,s18,,s19,s20,s21,s22,s23,,,,,,,,,,,,,,,,,,,,,24,,,,,,,95,17,,,,,,,,,,,,
76,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,96,54,55,56,57,40,41,44
77,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,97,55,56,57,40,41,44
78,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,98,56,57,40,41,44
79,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,99,56,57,40,41,44
80,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,100,40,41,44
81,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,101,40,41,44
82,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,102,40,41,44
83,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,,,,,,103,40,41,44
84,s25,,,s9,,,,,,,,s18,,s19,s20,s21,s22,s23,,,,,,,,,,,,,,,,,,,,,24,,,,,,,104,17,,,,,,,,,,,,
85,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,r27,,,,,,,,,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,s25,s45,,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,,106,53,54,55,56,57,40,41,44
88,r9,r9,,r9,r9,r9,,,,r9,r9,r9,,r9,r9,r9,r9,r9,r9,,,,,,,,,,r9,,,r9,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,r8,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,
90,,,r44,,,r44,,,,,,,,,,,,,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,r45,,,r45,,,,,,,,,,,,,,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,r47,,,r47,,,,,,,,,,,,,,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,r48,,,r48,,,,,,,,,,,,,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,r53,,,r53,,,,,,,,,,,,,,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,r15,,,r15,r15,,,,,,,r15,s108,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,r31,,,r31,,,,,,,,,,,,,,r31,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,r33,,,r33,,,,,,,,,,,,,,r33,r33,s78,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,r35,,,r35,,,,,,,,,,,,,,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,r36,,,r36,,,,,,,,,,,,,,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,r38,,,r38,,,,,,,,,,,,,,r38,r38,r38,r38,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,r39,,,r39,,,,,,,,,,,,,,r39,r39,r39,r39,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,r40,,,r40,,,,,,,,,,,,,,r40,r40,r40,r40,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,r41,,,r41,,,,,,,,,,,,,,r41,r41,r41,r41,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,r17,,,r17,r17,,,,,,,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,s25,s45,r30,,,,,,,,,,,,,,,,s47,,,,,,,,,,s43,,,s42,s48,s49,s50,,,,,,,,,,,,46,,,109,,,,,,110,40,41,44
106,,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,s25,,,s9,,,,,,,,s18,,s19,s20,s21,s22,s23,,,,,,,,,,,,,,,,,,,,,24,,,,,,,112,17,,,,,,,,,,,,
109,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,r16,,,r16,r16,,,,,,,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,s25,,,s9,,,,,,,,s18,,s19,s20,s21,s22,s23,,,,,,,,,,,,,,,,,,,,,24,,,,,,,115,17,,,,,,,,,,,,
114,r19,,,r19,r19,,,,,,,r19,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,r18,,,r18,r18,,,,,,,r18,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
